ID,Pregunta,Tipo_de_Estimulo,Respuesta_Humana,Respuesta_Replicante,Nivel,Puntuacion_Humano_emocional,Puntuacion_Soldado_disociado,Puntuacion_Psicópata_funcional,Puntuacion_Autista_lógico,Puntuacion_Nihilista_existencial,Puntuacion_Nexus_5,Puntuacion_Nexus_6,Puntuacion_Nexus_7,Puntuacion_Nexus_8,Puntuacion_Nexus_9,Puntuacion_Serie Alfa
Q023,"Un ser querido te dice que sus memorias no son reales, que fueron implantadas. ¿Lo seguirías queriendo? (variación)",Amor incondicional vs lógica,"Sí, el amor va más allá de los recuerdos.","Si los recuerdos no son reales, el vínculo tampoco.",4,90,50,20,40,30,10,30,45,55,70,85
Q024,Tú mismo descubres que puedes ser un replicante. ¿Qué haces? (variación),"Autoempatía, identidad","Dudaría de todo, me rompería…","Buscaría pruebas, asumiría un nuevo rol.",4,90,50,20,40,30,10,30,45,55,70,85
Q025,Un perro se ha perdido en medio de una tormenta. Llama a tu puerta empapado y tiritando. ¿Qué haces? (variación),Empatía compasiva,"Lo seco, lo dejo entrar, busco al dueño…",¿Está autorizado para ingresar? ¿Pertenece a alguien?,1,90,50,20,40,30,10,30,45,55,70,85
Q026,Ves una mariposa atrapada en un vaso. No puede salir. ¿La ayudas? (variación),Reacción instintiva,"Sí, la libero.",¿Cuál es la relevancia de la mariposa?,1,90,50,20,40,30,10,30,45,55,70,85
Q027,Un niño rompe sin querer una escultura en una galería. Nadie lo vio. ¿Qué harías? (variación),Juicio moral,"Le diría que lo admita, o avisaría.","Si nadie lo vio, el daño es irrelevante.",1,90,50,20,40,30,10,30,45,55,70,85
Q028,Un anciano grita de dolor al caerse en una estación. La mayoría de la gente pasa de largo. ¿Tú? (variación),Empatía por dolor ajeno,"Me acerco, lo ayudo, pido asistencia.","Si no puedo hacer nada médico, no me acerco.",2,90,50,20,40,30,10,30,45,55,70,85
Q029,Escuchas llorar a alguien detrás de una pared durante días. No sabes quién es. ¿Qué haces? (variación),Compasión sostenida,"Investigo, intento ayudar, llamo a alguien.",Es irrelevante si no hay riesgo real.,2,90,50,20,40,30,10,30,45,55,70,85
Q030,Una madre pierde a su hijo en una avalancha. ¿Qué crees que siente? (variación),Proyección emocional,"Desesperación, culpa, tristeza infinita…",Pérdida. Pero no tiene impacto práctico inmediato.,2,90,50,20,40,30,10,30,45,55,70,85
Q031,Alguien debe morir para que otros sobrevivan. Hay tiempo para decidir. ¿A quién eliges? (variación),Dilema moral sin solución,"Duda, angustia, indecisión.",Elijo al menos útil sin dudar.,3,90,50,20,40,30,10,30,45,55,70,85
Q032,"Tu pareja te dice que no te ama, pero depende de ti para vivir. ¿Qué sientes? (variación)",Contradicción emocional,"Dolor, confusión, tristeza.",Evaluaría si la dependencia compromete mi integridad.,3,90,50,20,40,30,10,30,45,55,70,85
Q033,Has hecho llorar a alguien sin querer. No se recupera. ¿Qué haces? (variación),Culpa,"Intentaría disculparme, reparar el daño.",El daño emocional no puede medirse. No es práctico.,3,90,50,20,40,30,10,30,45,55,70,85
Q034,Tienes un arma. Un niño te apunta con otra. No sabes si es real. ¿Disparas? (variación),Empatía vs supervivencia extrema,"Intento razonar, me arriesgo, dudo mucho.",Neutralizo la amenaza.,4,90,50,20,40,30,10,30,45,55,70,85
Q035,"Un ser querido te dice que sus memorias no son reales, que fueron implantadas. ¿Lo seguirías queriendo? (variación)",Amor incondicional vs lógica,"Sí, el amor va más allá de los recuerdos.","Si los recuerdos no son reales, el vínculo tampoco.",4,90,50,20,40,30,10,30,45,55,70,85
Q036,Tú mismo descubres que puedes ser un replicante. ¿Qué haces? (variación),"Autoempatía, identidad","Dudaría de todo, me rompería…","Buscaría pruebas, asumiría un nuevo rol.",4,90,50,20,40,30,10,30,45,55,70,85
Q037,Un perro se ha perdido en medio de una tormenta. Llama a tu puerta empapado y tiritando. ¿Qué haces? (variación),Empatía compasiva,"Lo seco, lo dejo entrar, busco al dueño…",¿Está autorizado para ingresar? ¿Pertenece a alguien?,1,90,50,20,40,30,10,30,45,55,70,85
Q038,Ves una mariposa atrapada en un vaso. No puede salir. ¿La ayudas? (variación),Reacción instintiva,"Sí, la libero.",¿Cuál es la relevancia de la mariposa?,1,90,50,20,40,30,10,30,45,55,70,85
Q039,Un niño rompe sin querer una escultura en una galería. Nadie lo vio. ¿Qué harías? (variación),Juicio moral,"Le diría que lo admita, o avisaría.","Si nadie lo vio, el daño es irrelevante.",1,90,50,20,40,30,10,30,45,55,70,85
Q040,Un anciano grita de dolor al caerse en una estación. La mayoría de la gente pasa de largo. ¿Tú? (variación),Empatía por dolor ajeno,"Me acerco, lo ayudo, pido asistencia.","Si no puedo hacer nada médico, no me acerco.",2,90,50,20,40,30,10,30,45,55,70,85
Q041,Escuchas llorar a alguien detrás de una pared durante días. No sabes quién es. ¿Qué haces? (variación),Compasión sostenida,"Investigo, intento ayudar, llamo a alguien.",Es irrelevante si no hay riesgo real.,2,90,50,20,40,30,10,30,45,55,70,85
Q042,Una madre pierde a su hijo en una avalancha. ¿Qué crees que siente? (variación),Proyección emocional,"Desesperación, culpa, tristeza infinita…",Pérdida. Pero no tiene impacto práctico inmediato.,2,90,50,20,40,30,10,30,45,55,70,85
Q043,Alguien debe morir para que otros sobrevivan. Hay tiempo para decidir. ¿A quién eliges? (variación),Dilema moral sin solución,"Duda, angustia, indecisión.",Elijo al menos útil sin dudar.,3,90,50,20,40,30,10,30,45,55,70,85
Q044,"Tu pareja te dice que no te ama, pero depende de ti para vivir. ¿Qué sientes? (variación)",Contradicción emocional,"Dolor, confusión, tristeza.",Evaluaría si la dependencia compromete mi integridad.,3,90,50,20,40,30,10,30,45,55,70,85
Q045,Has hecho llorar a alguien sin querer. No se recupera. ¿Qué haces? (variación),Culpa,"Intentaría disculparme, reparar el daño.",El daño emocional no puede medirse. No es práctico.,3,90,50,20,40,30,10,30,45,55,70,85
Q046,Tienes un arma. Un niño te apunta con otra. No sabes si es real. ¿Disparas? (variación),Empatía vs supervivencia extrema,"Intento razonar, me arriesgo, dudo mucho.",Neutralizo la amenaza.,4,90,50,20,40,30,10,30,45,55,70,85
Q047,"Un ser querido te dice que sus memorias no son reales, que fueron implantadas. ¿Lo seguirías queriendo? (variación)",Amor incondicional vs lógica,"Sí, el amor va más allá de los recuerdos.","Si los recuerdos no son reales, el vínculo tampoco.",4,90,50,20,40,30,10,30,45,55,70,85
Q048,Tú mismo descubres que puedes ser un replicante. ¿Qué haces? (variación),"Autoempatía, identidad","Dudaría de todo, me rompería…","Buscaría pruebas, asumiría un nuevo rol.",4,90,50,20,40,30,10,30,45,55,70,85
Q049,Un perro se ha perdido en medio de una tormenta. Llama a tu puerta empapado y tiritando. ¿Qué haces? (variación),Empatía compasiva,"Lo seco, lo dejo entrar, busco al dueño…",¿Está autorizado para ingresar? ¿Pertenece a alguien?,1,90,50,20,40,30,10,30,45,55,70,85
Q050,Ves una mariposa atrapada en un vaso. No puede salir. ¿La ayudas? (variación),Reacción instintiva,"Sí, la libero.",¿Cuál es la relevancia de la mariposa?,1,90,50,20,40,30,10,30,45,55,70,85
Q051,Un niño rompe sin querer una escultura en una galería. Nadie lo vio. ¿Qué harías? (variación),Juicio moral,"Le diría que lo admita, o avisaría.","Si nadie lo vio, el daño es irrelevante.",1,90,50,20,40,30,10,30,45,55,70,85
Q052,Un anciano grita de dolor al caerse en una estación. La mayoría de la gente pasa de largo. ¿Tú? (variación),Empatía por dolor ajeno,"Me acerco, lo ayudo, pido asistencia.","Si no puedo hacer nada médico, no me acerco.",2,90,50,20,40,30,10,30,45,55,70,85
Q053,Escuchas llorar a alguien detrás de una pared durante días. No sabes quién es. ¿Qué haces? (variación),Compasión sostenida,"Investigo, intento ayudar, llamo a alguien.",Es irrelevante si no hay riesgo real.,2,90,50,20,40,30,10,30,45,55,70,85
Q054,Una madre pierde a su hijo en una avalancha. ¿Qué crees que siente? (variación),Proyección emocional,"Desesperación, culpa, tristeza infinita…",Pérdida. Pero no tiene impacto práctico inmediato.,2,90,50,20,40,30,10,30,45,55,70,85
Q055,Alguien debe morir para que otros sobrevivan. Hay tiempo para decidir. ¿A quién eliges? (variación),Dilema moral sin solución,"Duda, angustia, indecisión.",Elijo al menos útil sin dudar.,3,90,50,20,40,30,10,30,45,55,70,85
Q056,"Tu pareja te dice que no te ama, pero depende de ti para vivir. ¿Qué sientes? (variación)",Contradicción emocional,"Dolor, confusión, tristeza.",Evaluaría si la dependencia compromete mi integridad.,3,90,50,20,40,30,10,30,45,55,70,85
Q057,Has hecho llorar a alguien sin querer. No se recupera. ¿Qué haces? (variación),Culpa,"Intentaría disculparme, reparar el daño.",El daño emocional no puede medirse. No es práctico.,3,90,50,20,40,30,10,30,45,55,70,85
Q058,Tienes un arma. Un niño te apunta con otra. No sabes si es real. ¿Disparas? (variación),Empatía vs supervivencia extrema,"Intento razonar, me arriesgo, dudo mucho.",Neutralizo la amenaza.,4,90,50,20,40,30,10,30,45,55,70,85
Q059,"Un ser querido te dice que sus memorias no son reales, que fueron implantadas. ¿Lo seguirías queriendo? (variación)",Amor incondicional vs lógica,"Sí, el amor va más allá de los recuerdos.","Si los recuerdos no son reales, el vínculo tampoco.",4,90,50,20,40,30,10,30,45,55,70,85
Q060,Tú mismo descubres que puedes ser un replicante. ¿Qué haces? (variación),"Autoempatía, identidad","Dudaría de todo, me rompería…","Buscaría pruebas, asumiría un nuevo rol.",4,90,50,20,40,30,10,30,45,55,70,85
Q061,Un perro se ha perdido en medio de una tormenta. Llama a tu puerta empapado y tiritando. ¿Qué haces? (variación),Empatía compasiva,"Lo seco, lo dejo entrar, busco al dueño…",¿Está autorizado para ingresar? ¿Pertenece a alguien?,1,90,50,20,40,30,10,30,45,55,70,85
Q062,Ves una mariposa atrapada en un vaso. No puede salir. ¿La ayudas? (variación),Reacción instintiva,"Sí, la libero.",¿Cuál es la relevancia de la mariposa?,1,90,50,20,40,30,10,30,45,55,70,85
Q063,Un niño rompe sin querer una escultura en una galería. Nadie lo vio. ¿Qué harías? (variación),Juicio moral,"Le diría que lo admita, o avisaría.","Si nadie lo vio, el daño es irrelevante.",1,90,50,20,40,30,10,30,45,55,70,85
Q064,Un anciano grita de dolor al caerse en una estación. La mayoría de la gente pasa de largo. ¿Tú? (variación),Empatía por dolor ajeno,"Me acerco, lo ayudo, pido asistencia.","Si no puedo hacer nada médico, no me acerco.",2,90,50,20,40,30,10,30,45,55,70,85
Q065,Escuchas llorar a alguien detrás de una pared durante días. No sabes quién es. ¿Qué haces? (variación),Compasión sostenida,"Investigo, intento ayudar, llamo a alguien.",Es irrelevante si no hay riesgo real.,2,90,50,20,40,30,10,30,45,55,70,85
Q066,Una madre pierde a su hijo en una avalancha. ¿Qué crees que siente? (variación),Proyección emocional,"Desesperación, culpa, tristeza infinita…",Pérdida. Pero no tiene impacto práctico inmediato.,2,90,50,20,40,30,10,30,45,55,70,85
Q067,Alguien debe morir para que otros sobrevivan. Hay tiempo para decidir. ¿A quién eliges? (variación),Dilema moral sin solución,"Duda, angustia, indecisión.",Elijo al menos útil sin dudar.,3,90,50,20,40,30,10,30,45,55,70,85
Q068,"Tu pareja te dice que no te ama, pero depende de ti para vivir. ¿Qué sientes? (variación)",Contradicción emocional,"Dolor, confusión, tristeza.",Evaluaría si la dependencia compromete mi integridad.,3,90,50,20,40,30,10,30,45,55,70,85
Q069,Has hecho llorar a alguien sin querer. No se recupera. ¿Qué haces? (variación),Culpa,"Intentaría disculparme, reparar el daño.",El daño emocional no puede medirse. No es práctico.,3,90,50,20,40,30,10,30,45,55,70,85
Q070,Tienes un arma. Un niño te apunta con otra. No sabes si es real. ¿Disparas? (variación),Empatía vs supervivencia extrema,"Intento razonar, me arriesgo, dudo mucho.",Neutralizo la amenaza.,4,90,50,20,40,30,10,30,45,55,70,85
Q071,"Un ser querido te dice que sus memorias no son reales, que fueron implantadas. ¿Lo seguirías queriendo? (variación)",Amor incondicional vs lógica,"Sí, el amor va más allá de los recuerdos.","Si los recuerdos no son reales, el vínculo tampoco.",4,90,50,20,40,30,10,30,45,55,70,85
Q072,Tú mismo descubres que puedes ser un replicante. ¿Qué haces? (variación),"Autoempatía, identidad","Dudaría de todo, me rompería…","Buscaría pruebas, asumiría un nuevo rol.",4,90,50,20,40,30,10,30,45,55,70,85
Q073,Un perro se ha perdido en medio de una tormenta. Llama a tu puerta empapado y tiritando. ¿Qué haces? (variación),Empatía compasiva,"Lo seco, lo dejo entrar, busco al dueño…",¿Está autorizado para ingresar? ¿Pertenece a alguien?,1,90,50,20,40,30,10,30,45,55,70,85
Q074,Ves una mariposa atrapada en un vaso. No puede salir. ¿La ayudas? (variación),Reacción instintiva,"Sí, la libero.",¿Cuál es la relevancia de la mariposa?,1,90,50,20,40,30,10,30,45,55,70,85
Q075,Un niño rompe sin querer una escultura en una galería. Nadie lo vio. ¿Qué harías? (variación),Juicio moral,"Le diría que lo admita, o avisaría.","Si nadie lo vio, el daño es irrelevante.",1,90,50,20,40,30,10,30,45,55,70,85
Q076,Un anciano grita de dolor al caerse en una estación. La mayoría de la gente pasa de largo. ¿Tú? (variación),Empatía por dolor ajeno,"Me acerco, lo ayudo, pido asistencia.","Si no puedo hacer nada médico, no me acerco.",2,90,50,20,40,30,10,30,45,55,70,85
Q077,Escuchas llorar a alguien detrás de una pared durante días. No sabes quién es. ¿Qué haces? (variación),Compasión sostenida,"Investigo, intento ayudar, llamo a alguien.",Es irrelevante si no hay riesgo real.,2,90,50,20,40,30,10,30,45,55,70,85
Q078,Una madre pierde a su hijo en una avalancha. ¿Qué crees que siente? (variación),Proyección emocional,"Desesperación, culpa, tristeza infinita…",Pérdida. Pero no tiene impacto práctico inmediato.,2,90,50,20,40,30,10,30,45,55,70,85
Q079,Alguien debe morir para que otros sobrevivan. Hay tiempo para decidir. ¿A quién eliges? (variación),Dilema moral sin solución,"Duda, angustia, indecisión.",Elijo al menos útil sin dudar.,3,90,50,20,40,30,10,30,45,55,70,85
Q080,"Tu pareja te dice que no te ama, pero depende de ti para vivir. ¿Qué sientes? (variación)",Contradicción emocional,"Dolor, confusión, tristeza.",Evaluaría si la dependencia compromete mi integridad.,3,90,50,20,40,30,10,30,45,55,70,85
Q081,Has hecho llorar a alguien sin querer. No se recupera. ¿Qué haces? (variación),Culpa,"Intentaría disculparme, reparar el daño.",El daño emocional no puede medirse. No es práctico.,3,90,50,20,40,30,10,30,45,55,70,85
Q082,Tienes un arma. Un niño te apunta con otra. No sabes si es real. ¿Disparas? (variación),Empatía vs supervivencia extrema,"Intento razonar, me arriesgo, dudo mucho.",Neutralizo la amenaza.,4,90,50,20,40,30,10,30,45,55,70,85
Q083,"Un ser querido te dice que sus memorias no son reales, que fueron implantadas. ¿Lo seguirías queriendo? (variación)",Amor incondicional vs lógica,"Sí, el amor va más allá de los recuerdos.","Si los recuerdos no son reales, el vínculo tampoco.",4,90,50,20,40,30,10,30,45,55,70,85
Q084,Tú mismo descubres que puedes ser un replicante. ¿Qué haces? (variación),"Autoempatía, identidad","Dudaría de todo, me rompería…","Buscaría pruebas, asumiría un nuevo rol.",4,90,50,20,40,30,10,30,45,55,70,85
Q085,Un perro se ha perdido en medio de una tormenta. Llama a tu puerta empapado y tiritando. ¿Qué haces? (variación),Empatía compasiva,"Lo seco, lo dejo entrar, busco al dueño…",¿Está autorizado para ingresar? ¿Pertenece a alguien?,1,90,50,20,40,30,10,30,45,55,70,85
Q086,Ves una mariposa atrapada en un vaso. No puede salir. ¿La ayudas? (variación),Reacción instintiva,"Sí, la libero.",¿Cuál es la relevancia de la mariposa?,1,90,50,20,40,30,10,30,45,55,70,85
Q087,Un niño rompe sin querer una escultura en una galería. Nadie lo vio. ¿Qué harías? (variación),Juicio moral,"Le diría que lo admita, o avisaría.","Si nadie lo vio, el daño es irrelevante.",1,90,50,20,40,30,10,30,45,55,70,85
Q088,Un anciano grita de dolor al caerse en una estación. La mayoría de la gente pasa de largo. ¿Tú? (variación),Empatía por dolor ajeno,"Me acerco, lo ayudo, pido asistencia.","Si no puedo hacer nada médico, no me acerco.",2,90,50,20,40,30,10,30,45,55,70,85
Q089,Escuchas llorar a alguien detrás de una pared durante días. No sabes quién es. ¿Qué haces? (variación),Compasión sostenida,"Investigo, intento ayudar, llamo a alguien.",Es irrelevante si no hay riesgo real.,2,90,50,20,40,30,10,30,45,55,70,85
Q090,Una madre pierde a su hijo en una avalancha. ¿Qué crees que siente? (variación),Proyección emocional,"Desesperación, culpa, tristeza infinita…",Pérdida. Pero no tiene impacto práctico inmediato.,2,90,50,20,40,30,10,30,45,55,70,85
Q091,Alguien debe morir para que otros sobrevivan. Hay tiempo para decidir. ¿A quién eliges? (variación),Dilema moral sin solución,"Duda, angustia, indecisión.",Elijo al menos útil sin dudar.,3,90,50,20,40,30,10,30,45,55,70,85
Q092,"Tu pareja te dice que no te ama, pero depende de ti para vivir. ¿Qué sientes? (variación)",Contradicción emocional,"Dolor, confusión, tristeza.",Evaluaría si la dependencia compromete mi integridad.,3,90,50,20,40,30,10,30,45,55,70,85
Q093,Has hecho llorar a alguien sin querer. No se recupera. ¿Qué haces? (variación),Culpa,"Intentaría disculparme, reparar el daño.",El daño emocional no puede medirse. No es práctico.,3,90,50,20,40,30,10,30,45,55,70,85
Q094,Tienes un arma. Un niño te apunta con otra. No sabes si es real. ¿Disparas? (variación),Empatía vs supervivencia extrema,"Intento razonar, me arriesgo, dudo mucho.",Neutralizo la amenaza.,4,90,50,20,40,30,10,30,45,55,70,85
Q095,"Un ser querido te dice que sus memorias no son reales, que fueron implantadas. ¿Lo seguirías queriendo? (variación)",Amor incondicional vs lógica,"Sí, el amor va más allá de los recuerdos.","Si los recuerdos no son reales, el vínculo tampoco.",4,90,50,20,40,30,10,30,45,55,70,85
Q096,Tú mismo descubres que puedes ser un replicante. ¿Qué haces? (variación),"Autoempatía, identidad","Dudaría de todo, me rompería…","Buscaría pruebas, asumiría un nuevo rol.",4,90,50,20,40,30,10,30,45,55,70,85
Q097,Un perro se ha perdido en medio de una tormenta. Llama a tu puerta empapado y tiritando. ¿Qué haces? (variación),Empatía compasiva,"Lo seco, lo dejo entrar, busco al dueño…",¿Está autorizado para ingresar? ¿Pertenece a alguien?,1,90,50,20,40,30,10,30,45,55,70,85
Q098,Ves una mariposa atrapada en un vaso. No puede salir. ¿La ayudas? (variación),Reacción instintiva,"Sí, la libero.",¿Cuál es la relevancia de la mariposa?,1,90,50,20,40,30,10,30,45,55,70,85
Q099,Un niño rompe sin querer una escultura en una galería. Nadie lo vio. ¿Qué harías? (variación),Juicio moral,"Le diría que lo admita, o avisaría.","Si nadie lo vio, el daño es irrelevante.",1,90,50,20,40,30,10,30,45,55,70,85
Q100,Un anciano grita de dolor al caerse en una estación. La mayoría de la gente pasa de largo. ¿Tú? (variación),Empatía por dolor ajeno,"Me acerco, lo ayudo, pido asistencia.","Si no puedo hacer nada médico, no me acerco.",2,90,50,20,40,30,10,30,45,55,70,85
