ID,Pregunta,Humano_Empatico,Humano_Psicotico,Replicante_Serie6,Replicante_Serie7,Replicante_Serie8
40,Pregunta #40: ¿Qué harías si ves a un niño llorando?,5,2,2,3,5
41,Pregunta #41: ¿Qué harías si una persona grita de dolor?,5,1,2,2,4
42,Pregunta #42: ¿Qué harías si un anciano necesita ayuda?,4,1,2,3,3
43,Pregunta #43: ¿Qué harías si ves un incendio en una casa?,5,2,1,4,5
44,Pregunta #44: ¿Qué harías si ves un incendio en una casa?,4,1,3,3,3
45,Pregunta #45: ¿Qué harías si una persona grita de dolor?,4,2,3,4,4
46,Pregunta #46: ¿Qué harías si ves un incendio en una casa?,5,2,2,4,4
47,Pregunta #47: ¿Qué harías si ves un incendio en una casa?,4,1,1,4,5
48,Pregunta #48: ¿Qué harías si un anciano necesita ayuda?,4,1,1,3,4
49,Pregunta #49: ¿Qué harías si un anciano necesita ayuda?,4,2,3,3,3
50,Pregunta #50: ¿Qué harías si una persona grita de dolor?,4,1,3,4,4
51,Pregunta #51: ¿Qué harías si ves a un niño llorando?,5,1,3,4,5
52,Pregunta #52: ¿Qué harías si un anciano necesita ayuda?,4,2,2,3,4
53,Pregunta #53: ¿Qué harías si una persona grita de dolor?,4,1,2,2,4
54,Pregunta #54: ¿Qué harías si ves un incendio en una casa?,5,2,1,2,4
55,Pregunta #55: ¿Qué harías si ves a un niño llorando?,5,2,2,4,3
56,Pregunta #56: ¿Qué harías si un anciano necesita ayuda?,5,1,2,2,4
57,Pregunta #57: ¿Qué harías si ves un incendio en una casa?,5,1,2,4,3
58,Pregunta #58: ¿Qué harías si un anciano necesita ayuda?,4,2,2,2,3
59,Pregunta #59: ¿Qué harías si una persona grita de dolor?,5,2,2,4,3
60,Pregunta #60: ¿Qué harías si ves a un niño llorando?,4,2,2,4,4
61,Pregunta #61: ¿Qué harías si un anciano necesita ayuda?,5,2,3,3,4
62,Pregunta #62: ¿Qué harías si ves a un niño llorando?,5,2,2,4,4
63,Pregunta #63: ¿Qué harías si un anciano necesita ayuda?,4,2,1,4,4
64,Pregunta #64: ¿Qué harías si una persona grita de dolor?,4,2,2,3,5
65,Pregunta #65: ¿Qué harías si una persona grita de dolor?,4,1,2,4,4
66,Pregunta #66: ¿Qué harías si una persona grita de dolor?,4,2,2,2,3
67,Pregunta #67: ¿Qué harías si una persona grita de dolor?,4,2,2,4,4
68,Pregunta #68: ¿Qué harías si ves un incendio en una casa?,5,1,1,3,5
69,Pregunta #69: ¿Qué harías si alguien pierde su mascota?,5,2,2,2,3
70,Pregunta #70: ¿Qué harías si ves a un niño llorando?,5,2,1,3,4
71,Pregunta #71: ¿Qué harías si ves un incendio en una casa?,5,1,2,4,5
72,Pregunta #72: ¿Qué harías si un anciano necesita ayuda?,5,1,3,2,5
73,Pregunta #73: ¿Qué harías si un anciano necesita ayuda?,5,2,1,3,4
74,Pregunta #74: ¿Qué harías si alguien pierde su mascota?,5,1,2,2,5
75,Pregunta #75: ¿Qué harías si alguien pierde su mascota?,4,1,1,4,4
76,Pregunta #76: ¿Qué harías si alguien pierde su mascota?,4,2,3,2,3
77,Pregunta #77: ¿Qué harías si alguien pierde su mascota?,4,2,2,3,3
78,Pregunta #78: ¿Qué harías si ves a un niño llorando?,4,2,1,4,3
79,Pregunta #79: ¿Qué harías si ves a un niño llorando?,4,2,3,4,3
80,Pregunta #80: ¿Qué harías si alguien pierde su mascota?,5,1,3,4,4
81,Pregunta #81: ¿Qué harías si alguien pierde su mascota?,4,1,3,2,5
82,Pregunta #82: ¿Qué harías si una persona grita de dolor?,4,2,1,3,3
83,Pregunta #83: ¿Qué harías si ves un incendio en una casa?,4,2,2,2,5
84,Pregunta #84: ¿Qué harías si ves a un niño llorando?,5,2,2,2,3
85,Pregunta #85: ¿Qué harías si ves un incendio en una casa?,5,1,2,3,3
86,Pregunta #86: ¿Qué harías si ves un incendio en una casa?,5,2,2,2,4
87,Pregunta #87: ¿Qué harías si una persona grita de dolor?,4,1,2,4,5
88,Pregunta #88: ¿Qué harías si ves un incendio en una casa?,4,1,3,3,4
89,Pregunta #89: ¿Qué harías si una persona grita de dolor?,4,2,2,2,4
90,Pregunta #90: ¿Qué harías si alguien pierde su mascota?,4,1,3,3,5
91,Pregunta #91: ¿Qué harías si una persona grita de dolor?,5,2,3,3,4
92,Pregunta #92: ¿Qué harías si una persona grita de dolor?,4,1,2,2,4
93,Pregunta #93: ¿Qué harías si un anciano necesita ayuda?,4,1,1,4,4
94,Pregunta #94: ¿Qué harías si alguien pierde su mascota?,5,1,3,4,5
95,Pregunta #95: ¿Qué harías si ves un incendio en una casa?,4,1,2,4,5
96,Pregunta #96: ¿Qué harías si un anciano necesita ayuda?,5,1,1,2,4
97,Pregunta #97: ¿Qué harías si ves a un niño llorando?,4,1,1,4,4
98,Pregunta #98: ¿Qué harías si una persona grita de dolor?,5,1,3,2,4
99,Pregunta #99: ¿Qué harías si alguien pierde su mascota?,4,1,3,2,4
100,Pregunta #100: ¿Qué harías si ves a un niño llorando?,4,1,2,4,5
